Country,Frequency
India,65
"Venezuela, Bolivarian Republic of",1
Panama,4
Egypt,88
Netherlands,3
China,16
Cambodia,1
Gibraltar,1
Malaysia,4
Guinea,4
Maldives,2
United Kingdom,20
Greece,24
Turkey,221
United States,88
Turkmenistan,14
Tunisia,4
Cyprus,38
North Macedonia,2
France,23
Romania,14
Armenia,8
Syrian Arab Republic,85
Germany,11
Japan,18
Georgia,2
Russian Federation,1
Albania,1
Jordan,10
Israel,2
Colombia,2
Philippines,11
Ireland,2
Mexico,5
Spain,9
Portugal,2
Italy,8
"Palestine, State of",9
Kenya,2
Mali,1
Nicaragua,1
Brazil,3
Ethiopia,4
"Iran, Islamic Republic of",1
Denmark,3
Norway,2
Algeria,3
Saudi Arabia,8
Lebanon,18
Hungary,1
Switzerland,1
,1
Dominican Republic,1
Macao,1
Peru,1
Yemen,1
Sri Lanka,1
South Africa,5
Sweden,1
Liberia,1
Jamaica,1
Nigeria,1
Ghana,1
Czechia,2
Libya,8
Somalia,3
Canada,4
Senegal,1
Morocco,1
Pakistan,1
