Country,Frequency
United States,1196
Panama,10
Mexico,10
Canada,8
Puerto Rico,8
Jamaica,7
Cuba,5
Nicaragua,4
Grenada,2
Greenland,2
Guatemala,1
Anguilla,1
Saint Lucia,1
Bahamas,1
