Country,Frequency
Brazil,1198
Peru,990
Colombia,788
Uruguay,366
"Venezuela, Bolivarian Republic of",288
Ecuador,156
Argentina,120
French Guiana,104
Paraguay,84
Chile,46
Suriname,2
