Country,Frequency
India,1538
Turkmenistan,862
Syrian Arab Republic,784
China,598
Philippines,420
Turkey,338
Japan,296
Armenia,254
Saudi Arabia,246
Cyprus,188
Lebanon,174
Georgia,132
Jordan,100
Malaysia,72
"Palestine, State of",66
Israel,62
Pakistan,42
"Iran, Islamic Republic of",30
Maldives,26
Indonesia,22
Afghanistan,22
Yemen,20
Cambodia,18
Lao People's Democratic Republic,14
Macao,12
Kazakhstan,10
"Taiwan, Province of China",6
Sri Lanka,6
Thailand,4
Bangladesh,2
Azerbaijan,2
"Korea, Republic of",2
Iraq,2
Uzbekistan,2
"Korea, Democratic People's Republic of",2
