Country,Frequency
Egypt,1610
South Africa,1176
Tunisia,476
Côte d'Ivoire,264
Guinea,222
Ethiopia,208
Algeria,204
Libya,192
Ghana,174
Morocco,170
Nigeria,102
Angola,100
Sierra Leone,84
Mauritania,72
Kenya,72
Senegal,70
Niger,58
Liberia,42
Mali,30
Cameroon,24
Gambia,22
Benin,18
Chad,18
South Sudan,18
Mozambique,14
Somalia,10
Mauritius,10
Madagascar,10
Zimbabwe,10
Cabo Verde,8
Togo,8
Sudan,6
"Tanzania, United Republic of",6
"Congo, The Democratic Republic of the",4
Malawi,2
Equatorial Guinea,2
