Country,Frequency
Egypt,3750
South Africa,2126
Côte d'Ivoire,660
Tunisia,644
Ethiopia,478
Guinea,464
Ghana,380
Morocco,330
Sierra Leone,314
Algeria,302
Libya,286
Senegal,212
Nigeria,144
Niger,136
Angola,108
Mauritania,106
Liberia,104
Kenya,82
Gambia,78
Mauritius,74
Sudan,50
Mali,42
"Tanzania, United Republic of",40
Benin,36
Zimbabwe,34
Cameroon,28
Mozambique,26
Chad,24
South Sudan,20
Togo,14
Madagascar,14
Equatorial Guinea,12
Somalia,10
Central African Republic,10
"Congo, The Democratic Republic of the",4
Botswana,2
Uganda,2
Cabo Verde,2
Malawi,2
Réunion,2
"Saint Helena, Ascension and Tristan da Cunha",2
Gabon,2
