Country,Frequency
Brazil,1152
Peru,958
Colombia,782
Uruguay,346
"Venezuela, Bolivarian Republic of",290
Ecuador,146
Argentina,116
French Guiana,104
Paraguay,84
Chile,48
Suriname,2
