Country,Frequency
Brazil,2008
Peru,1946
Colombia,1410
Uruguay,576
"Venezuela, Bolivarian Republic of",368
Argentina,226
Ecuador,220
French Guiana,192
Paraguay,170
Chile,80
Suriname,14
Guyana,4
