Country,Frequency
Egypt,6768
South Africa,3900
Tunisia,1258
Ethiopia,1200
Côte d'Ivoire,1192
Ghana,812
Guinea,770
Morocco,598
Libya,568
Algeria,542
Senegal,420
Sierra Leone,412
Nigeria,302
Kenya,276
Niger,230
Mauritania,222
Angola,208
Gambia,192
Liberia,170
Mali,124
Sudan,90
Mauritius,86
Benin,72
Chad,68
Zimbabwe,62
"Tanzania, United Republic of",60
Madagascar,58
South Sudan,52
Cameroon,52
Mozambique,50
Togo,24
Central African Republic,22
Somalia,18
"Congo, The Democratic Republic of the",16
Equatorial Guinea,14
Cabo Verde,10
Uganda,8
"Saint Helena, Ascension and Tristan da Cunha",8
Réunion,8
Malawi,6
Botswana,6
Gabon,4
Eritrea,2
Eswatini,2
