Country,Frequency
South Africa,28
Morocco,15
Ethiopia,22
Egypt,60
Guinea,19
Ghana,5
United States,20
Netherlands,3
Syrian Arab Republic,4
Saudi Arabia,3
France,6
Senegal,3
Sierra Leone,7
Mozambique,2
India,7
Niger,3
Tunisia,7
Benin,3
Greece,5
Germany,8
Algeria,9
Spain,5
Côte d'Ivoire,1
Cyprus,1
Mauritania,1
Canada,3
Kenya,3
Nigeria,2
Switzerland,1
China,3
United Kingdom,5
Portugal,1
Italy,2
Romania,5
Peru,1
Libya,1
Poland,1
Ireland,4
Hungary,2
Angola,1
Armenia,2
Slovakia,1
New Zealand,1
Uruguay,1
Gambia,2
Denmark,1
Turkey,1
Ukraine,1
