Country,Frequency
Egypt,201
South Africa,130
Eswatini,46
Algeria,24
Morocco,21
Côte d'Ivoire,16
Nigeria,9
Liberia,9
Ethiopia,8
Ghana,8
Madagascar,7
Tunisia,6
Mali,5
Sierra Leone,5
Angola,5
Mozambique,4
Benin,4
Mauritius,3
Niger,3
Libya,3
Guinea,3
Zimbabwe,3
Senegal,2
"Congo, The Democratic Republic of the",2
Mauritania,2
Gambia,1
South Sudan,1
Togo,1
Central African Republic,1
Sudan,1
Cameroon,1
Chad,1
"Tanzania, United Republic of",1
