,Edition1,Edition2,Edition3,Edition4,Edition5,Edition6,Edition7,Edition8
africa (Egypt),513,1670,7048,3896,4066,5253,6490,5932
Asia (Turkey),2525,5768,9654,8495,9886,7689,8905,9684
Europe ()France,2544,8562,29150,15930,16564,17356,18353,16837
North America (United States),6322,23246,78312,39728,41618,52578,73622,64268
Oceania (New Zealand),36,74,466,294,384,473,583,631
South America (Brazil),132,494,2038,1168,1224,1593,1735,2145
Antarctica,南极洲没有国家,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
