Country,Frequency
Egypt,90
Nigeria,8
Hungary,1
Greece,12
United States,41
South Africa,26
Tunisia,10
United Kingdom,7
Canada,2
India,15
Syrian Arab Republic,7
Ireland,2
Uruguay,1
France,12
Netherlands,5
Ethiopia,87
China,1
Liberia,1
Sudan,7
Lebanon,3
Libya,9
Portugal,2
Mauritania,2
Argentina,6
"Tanzania, United Republic of",3
Romania,7
Turkey,8
"Palestine, State of",1
Yemen,3
Holy See (Vatican City State),1
Italy,11
Philippines,2
Panama,6
Cameroon,2
Côte d'Ivoire,7
Saudi Arabia,2
Algeria,5
Germany,4
Cyprus,1
Ghana,4
North Macedonia,1
Niger,20
Guinea,8
Benin,1
Sierra Leone,3
Bulgaria,1
Colombia,1
Equatorial Guinea,2
Senegal,11
Morocco,10
Spain,2
Gibraltar,2
Gambia,8
Kenya,2
Angola,1
