Country,Frequency
Egypt,90
Ethiopia,87
South Africa,26
Niger,20
Senegal,11
Tunisia,10
Morocco,10
Libya,9
Gambia,8
Guinea,8
Nigeria,8
Sudan,7
Côte d'Ivoire,7
Algeria,5
Ghana,4
Sierra Leone,3
"Tanzania, United Republic of",3
Cameroon,2
Equatorial Guinea,2
Mauritania,2
Kenya,2
Benin,1
Liberia,1
Angola,1
