Country,Frequency
United States,83
South Africa,45
Egypt,116
Nigeria,13
Greece,14
France,33
United Kingdom,14
Canada,5
Ethiopia,17
Liberia,2
Spain,18
Philippines,3
Ghana,11
Panama,2
Romania,15
Italy,13
Sierra Leone,5
Algeria,53
Germany,10
Guinea,13
Niger,5
India,10
Norway,1
Sweden,3
Turkey,15
Tunisia,13
Netherlands,15
Syrian Arab Republic,19
Saudi Arabia,9
"Palestine, State of",1
Senegal,4
Morocco,5
Ireland,1
Mauritania,2
Mali,3
Libya,17
Angola,35
Cameroon,2
Puerto Rico,5
Portugal,6
Nicaragua,1
Colombia,4
North Macedonia,2
Ukraine,2
Argentina,1
Malta,1
Gibraltar,1
Togo,2
Chad,3
Mexico,3
Côte d'Ivoire,2
Paraguay,1
Cuba,2
Peru,3
Hungary,1
Bulgaria,1
Brazil,2
Russian Federation,1
Denmark,1
Madagascar,3
Lebanon,3
Yemen,2
Turkmenistan,1
Cyprus,1
Armenia,3
Maldives,1
China,2
Georgia,1
