Country,Frequency
United States,954
South Africa,27
Egypt,41
Romania,54
Greece,69
Nigeria,2
Italy,118
France,94
Germany,31
Ireland,7
Switzerland,3
United Kingdom,80
Panama,25
Canada,23
Spain,41
Saudi Arabia,22
Turkey,32
Brazil,4
Turkmenistan,8
Poland,2
Portugal,7
Ethiopia,2
Colombia,9
Ghana,5
Algeria,4
Philippines,8
China,7
Mexico,17
Cambodia,1
Japan,4
Nicaragua,11
Syrian Arab Republic,27
Netherlands,16
Guinea,2
Peru,8
Ecuador,1
Morocco,3
New Zealand,1
Jamaica,9
Hungary,3
India,9
Mauritania,1
Denmark,4
Norway,3
North Macedonia,6
Tunisia,3
Holy See (Vatican City State),2
Mali,1
Belgium,2
Malta,2
Sierra Leone,1
Puerto Rico,7
Lebanon,1
Libya,6
Monaco,1
Russian Federation,3
Senegal,1
Côte d'Ivoire,1
Paraguay,1
Cuba,4
Jordan,1
Dominican Republic,1
Bulgaria,1
Greenland,2
Trinidad and Tobago,1
Sweden,4
Iceland,1
Gibraltar,2
"Venezuela, Bolivarian Republic of",2
Guatemala,1
Anguilla,1
Ukraine,1
Niger,1
Armenia,5
Cameroon,1
Liberia,1
Finland,1
Estonia,1
Saint Lucia,1
Argentina,1
